304;Alimentação;01/01/2024
141;Transporte;01/01/2024
333;Saúde;01/01/2024
375;Lazer;01/01/2024
222;Educação;01/01/2024
245;Outros;01/01/2024
369;Alimentação;02/01/2024
201;Transporte;02/01/2024
522;Saúde;02/01/2024
594;Lazer;02/01/2024
125;Educação;02/01/2024
264;Outros;02/01/2024
288;Alimentação;03/01/2024
167;Transporte;03/01/2024
584;Saúde;03/01/2024
404;Lazer;03/01/2024
167;Educação;03/01/2024
224;Outros;03/01/2024
362;Alimentação;04/01/2024
119;Transporte;04/01/2024
362;Saúde;04/01/2024
688;Lazer;04/01/2024
170;Educação;04/01/2024
241;Outros;04/01/2024
220;Alimentação;05/01/2024
235;Transporte;05/01/2024
476;Saúde;05/01/2024
491;Lazer;05/01/2024
214;Educação;05/01/2024
401;Outros;05/01/2024
302;Alimentação;06/01/2024
155;Transporte;06/01/2024
427;Saúde;06/01/2024
535;Lazer;06/01/2024
256;Educação;06/01/2024
192;Outros;06/01/2024
259;Alimentação;07/01/2024
209;Transporte;07/01/2024
382;Saúde;07/01/2024
463;Lazer;07/01/2024
226;Educação;07/01/2024
301;Outros;07/01/2024
188;Alimentação;08/01/2024
236;Transporte;08/01/2024
261;Saúde;08/01/2024
407;Lazer;08/01/2024
255;Educação;08/01/2024
479;Outros;08/01/2024
315;Alimentação;09/01/2024
131;Transporte;09/01/2024
424;Saúde;09/01/2024
439;Lazer;09/01/2024
255;Educação;09/01/2024
257;Outros;09/01/2024
201;Alimentação;10/01/2024
163;Transporte;10/01/2024
459;Saúde;10/01/2024
359;Lazer;10/01/2024
167;Educação;10/01/2024
432;Outros;10/01/2024
175;Alimentação;11/01/2024
226;Transporte;11/01/2024
581;Saúde;11/01/2024
619;Lazer;11/01/2024
263;Educação;11/01/2024
238;Outros;11/01/2024
336;Alimentação;12/01/2024
126;Transporte;12/01/2024
350;Saúde;12/01/2024
486;Lazer;12/01/2024
268;Educação;12/01/2024
202;Outros;12/01/2024
372;Alimentação;13/01/2024
131;Transporte;13/01/2024
273;Saúde;13/01/2024
584;Lazer;13/01/2024
113;Educação;13/01/2024
413;Outros;13/01/2024
341;Alimentação;14/01/2024
202;Transporte;14/01/2024
410;Saúde;14/01/2024
399;Lazer;14/01/2024
159;Educação;14/01/2024
332;Outros;14/01/2024
334;Alimentação;15/01/2024
200;Transporte;15/01/2024
553;Saúde;15/01/2024
474;Lazer;15/01/2024
174;Educação;15/01/2024
386;Outros;15/01/2024
249;Alimentação;16/01/2024
120;Transporte;16/01/2024
598;Saúde;16/01/2024
614;Lazer;16/01/2024
248;Educação;16/01/2024
179;Outros;16/01/2024
360;Alimentação;17/01/2024
197;Transporte;17/01/2024
350;Saúde;17/01/2024
570;Lazer;17/01/2024
152;Educação;17/01/2024
258;Outros;17/01/2024
332;Alimentação;18/01/2024
163;Transporte;18/01/2024
590;Saúde;18/01/2024
320;Lazer;18/01/2024
132;Educação;18/01/2024
150;Outros;18/01/2024
174;Alimentação;19/01/2024
245;Transporte;19/01/2024
388;Saúde;19/01/2024
688;Lazer;19/01/2024
213;Educação;19/01/2024
228;Outros;19/01/2024
308;Alimentação;20/01/2024
231;Transporte;20/01/2024
381;Saúde;20/01/2024
609;Lazer;20/01/2024
210;Educação;20/01/2024
377;Outros;20/01/2024
345;Alimentação;21/01/2024
202;Transporte;21/01/2024
239;Saúde;21/01/2024
302;Lazer;21/01/2024
112;Educação;21/01/2024
173;Outros;21/01/2024
380;Alimentação;22/01/2024
224;Transporte;22/01/2024
337;Saúde;22/01/2024
578;Lazer;22/01/2024
214;Educação;22/01/2024
394;Outros;22/01/2024
165;Alimentação;23/01/2024
120;Transporte;23/01/2024
489;Saúde;23/01/2024
348;Lazer;23/01/2024
102;Educação;23/01/2024
293;Outros;23/01/2024
381;Alimentação;24/01/2024
249;Transporte;24/01/2024
215;Saúde;24/01/2024
330;Lazer;24/01/2024
267;Educação;24/01/2024
199;Outros;24/01/2024
255;Alimentação;25/01/2024
142;Transporte;25/01/2024
437;Saúde;25/01/2024
416;Lazer;25/01/2024
183;Educação;25/01/2024
422;Outros;25/01/2024
167;Alimentação;26/01/2024
134;Transporte;26/01/2024
376;Saúde;26/01/2024
565;Lazer;26/01/2024
130;Educação;26/01/2024
434;Outros;26/01/2024
210;Alimentação;27/01/2024
243;Transporte;27/01/2024
482;Saúde;27/01/2024
342;Lazer;27/01/2024
178;Educação;27/01/2024
282;Outros;27/01/2024
256;Alimentação;28/01/2024
125;Transporte;28/01/2024
466;Saúde;28/01/2024
447;Lazer;28/01/2024
264;Educação;28/01/2024
205;Outros;28/01/2024
368;Alimentação;29/01/2024
219;Transporte;29/01/2024
272;Saúde;29/01/2024
643;Lazer;29/01/2024
285;Educação;29/01/2024
443;Outros;29/01/2024
349;Alimentação;30/01/2024
244;Transporte;30/01/2024
222;Saúde;30/01/2024
615;Lazer;30/01/2024
139;Educação;30/01/2024
352;Outros;30/01/2024
291;Alimentação;31/01/2024
235;Transporte;31/01/2024
470;Saúde;31/01/2024
576;Lazer;31/01/2024
175;Educação;31/01/2024
182;Outros;31/01/2024
290;Alimentação;01/02/2024
138;Transporte;01/02/2024
482;Saúde;01/02/2024
695;Lazer;01/02/2024
286;Educação;01/02/2024
440;Outros;01/02/2024
207;Alimentação;02/02/2024
155;Transporte;02/02/2024
261;Saúde;02/02/2024
373;Lazer;02/02/2024
142;Educação;02/02/2024
152;Outros;02/02/2024
369;Alimentação;03/02/2024
222;Transporte;03/02/2024
236;Saúde;03/02/2024
591;Lazer;03/02/2024
276;Educação;03/02/2024
415;Outros;03/02/2024
233;Alimentação;04/02/2024
157;Transporte;04/02/2024
588;Saúde;04/02/2024
501;Lazer;04/02/2024
151;Educação;04/02/2024
155;Outros;04/02/2024
284;Alimentação;05/02/2024
144;Transporte;05/02/2024
557;Saúde;05/02/2024
474;Lazer;05/02/2024
135;Educação;05/02/2024
349;Outros;05/02/2024
308;Alimentação;06/02/2024
141;Transporte;06/02/2024
318;Saúde;06/02/2024
542;Lazer;06/02/2024
274;Educação;06/02/2024
219;Outros;06/02/2024
366;Alimentação;07/02/2024
193;Transporte;07/02/2024
213;Saúde;07/02/2024
434;Lazer;07/02/2024
192;Educação;07/02/2024
340;Outros;07/02/2024
387;Alimentação;08/02/2024
104;Transporte;08/02/2024
262;Saúde;08/02/2024
439;Lazer;08/02/2024
118;Educação;08/02/2024
171;Outros;08/02/2024
227;Alimentação;09/02/2024
118;Transporte;09/02/2024
212;Saúde;09/02/2024
466;Lazer;09/02/2024
100;Educação;09/02/2024
164;Outros;09/02/2024
227;Alimentação;10/02/2024
142;Transporte;10/02/2024
537;Saúde;10/02/2024
519;Lazer;10/02/2024
188;Educação;10/02/2024
431;Outros;10/02/2024
278;Alimentação;11/02/2024
151;Transporte;11/02/2024
298;Saúde;11/02/2024
654;Lazer;11/02/2024
201;Educação;11/02/2024
392;Outros;11/02/2024
358;Alimentação;12/02/2024
182;Transporte;12/02/2024
329;Saúde;12/02/2024
487;Lazer;12/02/2024
297;Educação;12/02/2024
345;Outros;12/02/2024
281;Alimentação;13/02/2024
142;Transporte;13/02/2024
201;Saúde;13/02/2024
312;Lazer;13/02/2024
151;Educação;13/02/2024
177;Outros;13/02/2024
322;Alimentação;14/02/2024
201;Transporte;14/02/2024
437;Saúde;14/02/2024
480;Lazer;14/02/2024
152;Educação;14/02/2024
316;Outros;14/02/2024
275;Alimentação;15/02/2024
160;Transporte;15/02/2024
499;Saúde;15/02/2024
331;Lazer;15/02/2024
142;Educação;15/02/2024
454;Outros;15/02/2024
231;Alimentação;16/02/2024
173;Transporte;16/02/2024
243;Saúde;16/02/2024
536;Lazer;16/02/2024
203;Educação;16/02/2024
226;Outros;16/02/2024
377;Alimentação;17/02/2024
164;Transporte;17/02/2024
232;Saúde;17/02/2024
615;Lazer;17/02/2024
275;Educação;17/02/2024
247;Outros;17/02/2024
327;Alimentação;18/02/2024
129;Transporte;18/02/2024
394;Saúde;18/02/2024
463;Lazer;18/02/2024
212;Educação;18/02/2024
352;Outros;18/02/2024
177;Alimentação;19/02/2024
235;Transporte;19/02/2024
390;Saúde;19/02/2024
411;Lazer;19/02/2024
117;Educação;19/02/2024
330;Outros;19/02/2024
302;Alimentação;20/02/2024
165;Transporte;20/02/2024
514;Saúde;20/02/2024
391;Lazer;20/02/2024
192;Educação;20/02/2024
424;Outros;20/02/2024
308;Alimentação;21/02/2024
129;Transporte;21/02/2024
476;Saúde;21/02/2024
467;Lazer;21/02/2024
233;Educação;21/02/2024
477;Outros;21/02/2024
298;Alimentação;22/02/2024
247;Transporte;22/02/2024
370;Saúde;22/02/2024
